Date,INTC.O,SlowK,SlowD,RSI,ADX,CCI,Aroon Down,Aroon Up,OBV,Chaikin A/D,SMA,EMA
2010-01-01,,,,,,,,,,,,
2010-04-01,20.88,43.4609,40.6623,65.2979,34.4441,36.5832,7.1429,50.0000,430109568.0000,-5566022713.9114,14.7663,14.6915
2010-05-01,20.87,,,,,,,,,,,
2010-06-01,20.8,80.4143,72.8022,46.2398,36.6646,38.3548,71.4286,14.2857,157160868.0000,-5086505491.0378,14.0551,14.1730
2010-07-01,20.6,9.8465,14.0854,26.2921,28.8873,-127.6594,100.0000,28.5714,-259230632.0000,-5198457750.9785,13.6668,13.4909
2010-08-01,20.83,,,,,,,,,,,
2010-11-01,20.95,73.4720,81.3621,66.6020,45.5102,137.0434,35.7143,100.0000,454806458.0000,-5178943307.2123,13.3050,13.3863
2010-12-01,20.608,63.8344,65.5033,65.2722,30.9812,151.4882,7.1429,14.2857,475529158.0000,-5071693976.8076,14.2613,14.2928
2010-01-13,20.96,61.6461,60.9280,56.1926,26.1501,50.9137,0.0000,85.7143,60175268.0000,-5609597852.8712,13.5805,13.5494
2010-01-14,21.48,67.8822,63.1105,63.4810,26.6377,223.3710,0.0000,100.0000,210996868.0000,-5501006300.8712,13.6368,13.5996
2010-01-15,20.8,68.8192,66.1159,67.7599,25.5795,57.4115,7.1429,92.8571,12918268.0000,-5680220272.2998,13.6886,13.6740
2010-01-18,,,,,,,,,,,,
2010-01-19,21.05,62.3932,66.3649,55.1867,24.6271,59.0192,0.0000,85.7143,95491768.0000,-5659576897.2998,13.6958,13.6765
2010-01-20,21.08,50.2734,60.4953,56.8218,23.7700,48.3158,0.0000,78.5714,161161868.0000,-5621080631.7826,13.6991,13.6893
2010-01-21,20.84,44.4378,52.3681,59.7246,21.9902,14.6691,0.0000,71.4286,87528568.0000,-5657312890.5127,13.7213,13.7188
2010-01-22,19.91,27.4459,40.7190,50.7256,22.6983,-205.6733,100.0000,64.2857,-28773832.0000,-5749880106.8393,13.7240,13.6977
2010-01-25,20.32,19.5600,30.4813,41.1233,23.3357,-119.9047,92.8571,57.1429,45011768.0000,-5762867318.1920,13.7043,13.6174
2010-01-26,20.0,17.6520,21.5527,40.1668,24.4899,-122.9636,85.7143,50.0000,-20287132.0000,-5812980427.4943,13.6434,13.5445
2010-01-27,20.24,25.1111,20.7744,37.2769,25.9102,-93.0866,78.5714,42.8571,54639068.0000,-5764498768.6708,13.5864,13.4634
2010-01-28,19.92,20.9850,21.2494,44.6514,27.5901,-89.0153,100.0000,35.7143,-22335532.0000,-5789434202.4736,13.5589,13.4328
2010-01-29,19.4,19.3733,21.8231,41.5738,30.0473,-118.7060,100.0000,28.5714,-118389432.0000,-5864846886.1848,13.4947,13.3875
2010-01-02,19.61,,,,,,,,,,,
2010-02-02,19.91,30.7450,23.1387,37.1391,32.2019,-64.5502,85.7143,14.2857,-4718632.0000,-5830948041.9643,13.2891,13.2022
2010-03-02,19.68,61.9393,58.6967,63.2008,19.2323,64.6959,0.0000,100.0000,106982668.0000,-5752385419.1177,13.6767,13.6036
2010-04-02,19.02,,,,,,,,,,,
2010-05-02,19.47,,,,,,,,,,,
2010-08-02,19.35,26.1377,21.8704,45.5549,30.1818,-82.6939,92.8571,0.0000,121565768.0000,-5187754173.6269,14.2133,14.1089
2010-09-02,19.65,44.6047,31.3885,35.8908,47.5891,-24.2536,85.7143,14.2857,-122865342.0000,-5431867703.5153,12.3122,12.3432
2010-10-02,19.69,,,,,,,,,,,
2010-11-02,20.06,62.6010,70.8540,71.1877,46.9215,98.8860,28.5714,100.0000,393847358.0000,-5224850777.5826,13.4142,13.4664
2010-12-02,20.43,71.0274,65.3852,66.1271,32.2206,159.4351,0.0000,7.1429,523624958.0000,-5046816838.8766,14.2937,14.3329
2010-02-15,,,,,,,,,,,,
2010-02-16,20.72,87.0984,83.5621,63.2304,28.6174,190.6569,50.0000,100.0000,229650768.0000,-5808236764.5260,12.9983,13.1243
2010-02-17,20.66,86.2592,85.4790,66.3340,28.1917,126.0388,42.8571,100.0000,182354068.0000,-5818269397.8593,13.0865,13.2419
