Date,MSFT.O,SlowK,SlowD,RSI,ADX,CCI,Aroon Down,Aroon Up,OBV,Chaikin A/D,SMA,EMA
2010-01-01,,,,,,,,,,,,
2010-04-01,30.95,22.6012,20.0644,47.6624,36.1135,-200.4061,100.0000,64.2857,-170032596.0000,-7207872883.3625,22.5763,22.4974
2010-05-01,30.96,,,,,,,,,,,
2010-06-01,30.77,58.4734,43.3955,22.6915,60.6866,-57.2855,78.5714,14.2857,-728850596.0000,-7440150402.1878,20.4367,20.3482
2010-07-01,30.452,9.2413,7.7560,20.6368,37.6466,-110.9580,100.0000,42.8571,-1307756396.0000,-7786346725.2856,19.1478,18.8035
2010-08-01,30.66,,,,,,,,,,,
2010-11-01,30.27,84.9747,88.4270,73.8351,41.7313,143.9476,0.0000,100.0000,-799238296.0000,-7177442769.5745,19.7969,19.9471
2010-12-01,30.07,59.9617,43.7910,46.6624,30.6007,117.2058,85.7143,0.0000,-1158710996.0000,-7252643771.2580,19.6940,19.7209
2010-01-13,30.35,24.7807,27.8575,45.8508,17.2021,-87.6939,92.8571,28.5714,-107169496.0000,-7156107469.4464,23.2046,23.1045
2010-01-14,30.96,49.0904,33.5826,46.9917,17.2291,58.2882,85.7143,21.4286,-43941396.0000,-7113955402.7797,23.1410,23.0758
2010-01-15,30.86,68.3416,47.4042,61.0388,17.7751,88.7429,78.5714,14.2857,-123854596.0000,-7148634715.9872,23.1486,23.1582
2010-01-18,,,,,,,,,,,,
2010-01-19,31.1,83.0458,66.8260,54.1994,18.0845,99.2716,71.4286,7.1429,-77278896.0000,-7125346865.9872,23.1584,23.1803
2010-01-20,30.585,69.2167,73.5347,55.2132,16.3220,4.5239,64.2857,0.0000,-132128396.0000,-7132311881.8603,23.1554,23.2066
2010-01-21,30.01,45.6760,65.9795,51.0297,16.0085,-81.8985,57.1429,0.0000,-205215096.0000,-7203368395.7491,23.1349,23.2006
2010-01-22,28.96,17.5181,44.1370,40.6035,18.8597,-206.4627,100.0000,71.4286,-307219696.0000,-7287372183.9844,23.0873,23.1117
2010-01-25,29.32,8.6022,23.9321,31.6513,21.4257,-144.9420,92.8571,64.2857,-243846696.0000,-7300952112.5559,23.0085,22.9344
2010-01-26,29.5,18.8095,14.9766,31.2484,22.7521,-95.6742,85.7143,57.1429,-177206796.0000,-7295691067.8190,22.8942,22.7838
2010-01-27,29.67,31.8592,19.7569,34.7113,24.1228,-73.7906,78.5714,50.0000,-113257296.0000,-7255722630.3190,22.8336,22.6812
2010-01-28,29.16,33.0356,27.9014,44.8023,25.6929,-75.7737,71.4286,42.8571,-230770996.0000,-7308483883.3803,22.8018,22.6647
2010-01-29,28.18,30.2291,31.7080,45.9391,29.2576,-120.7540,100.0000,35.7143,-424659496.0000,-7413149356.8316,22.7708,22.6595
2010-01-02,28.41,,,,,,,,,,,
2010-02-02,28.46,30.5310,29.1116,28.9949,35.2383,-116.1957,85.7143,21.4286,-284314696.0000,-7306379265.1649,22.3870,22.2711
2010-03-02,28.63,67.3715,69.3378,60.3125,20.9476,4.0499,21.4286,100.0000,-284413696.0000,-7224530410.5159,21.8059,21.7832
2010-04-02,27.84,,,,,,,,,,,
2010-05-02,28.02,,,,,,,,,,,
2010-08-02,27.72,67.6968,68.4511,59.4484,17.3550,89.0935,35.7143,85.7143,-844216396.0000,-7384668687.1306,19.6918,19.6828
