Date,AMZN.O,SlowK,SlowD,RSI,ADX,CCI,Aroon Down,Aroon Up,OBV,Chaikin A/D,SMA,EMA,AAPL.O,SlowK,SlowD,RSI,ADX,CCI,Aroon Down,Aroon Up,OBV,Chaikin A/D,SMA,EMA,MSFT.O,SlowK,SlowD,RSI,ADX,CCI,Aroon Down,Aroon Up,OBV,Chaikin A/D,SMA,EMA,INTC.O,SlowK,SlowD,RSI,ADX,CCI,Aroon Down,Aroon Up,OBV,Chaikin A/D,SMA,EMA,GS.N,SlowK,SlowD,RSI,ADX,CCI,Aroon Down,Aroon Up,OBV,Chaikin A/D,SMA,EMA
1/1/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/10,133.9,56.8287,73.2678,66.1726,35.5107,8.987,57.1429,85.7143,11404313060,20702083995,6.6543,6.6815,30.57282657,78.7484,82.8722,75.0702,38.0954,96.8893,42.8571,100,88163559340,55249301493,6.9552,6.9908,30.95,22.6012,20.0644,47.6624,36.1135,-200.4061,100,64.2857,-170032596,-7207872883,22.5763,22.4974,20.88,43.4609,40.6623,65.2979,34.4441,36.5832,7.1429,50,430109568,-5566022714,14.7663,14.6915,173.08,9.7641,15.2302,50.3525,25.5682,-119.6258,100,64.2857,-177810600,811806291.3,137.0128,135.9827
1/5/10,134.69,,,,,,,,,,,,30.62568366,,,,,,,,,,,,30.96,,,,,,,,,,,,20.87,,,,,,,,,,,,176.14,,,,,,,,,,,
1/6/10,132.25,75.6546,78.7052,45.0015,45.833,12.7304,57.1429,14.2857,10964719060,20684128051,6.1918,6.2536,30.13854129,89.506,82.1665,57.5986,35.3551,151.4643,57.1429,100,86814825991,60433201493,7.5207,7.6163,30.77,58.4734,43.3955,22.6915,60.6866,-57.2855,78.5714,14.2857,-728850596,-7440150402,20.4367,20.3482,20.8,80.4143,72.8022,46.2398,36.6646,38.3548,71.4286,14.2857,157160868,-5086505491,14.0551,14.173,174.26,82.1737,80.0595,49.2538,31.4835,85.6424,71.4286,14.2857,-346418300,664477496.8,110.7708,112.1395
1/7/10,130,22.3903,20.1191,21.6477,46.2261,-114.8337,85.7143,21.4286,10302619060,20430250557,5.9468,5.8418,30.08282706,11.7287,14.7644,38.9499,24.7259,-152.8759,100,42.8571,83901271878,58976664757,8.1018,7.9595,30.452,9.2413,7.756,20.6368,37.6466,-110.958,100,42.8571,-1307756396,-7786346725,19.1478,18.8035,20.6,9.8465,14.0854,26.2921,28.8873,-127.6594,100,28.5714,-259230632,-5198457751,13.6668,13.4909,177.67,9.8352,26.4734,37.8543,33.0676,-128.055,100,71.4286,-430663700,621506911,107.1164,106.6629
1/8/10,133.52,,,,,,,,,,,,30.28282686,,,,,,,,,,,,30.66,,,,,,,,,,,,20.83,,,,,,,,,,,,174.31,,,,,,,,,,,
1/11/10,130.308,21.3492,40.7736,55.0986,27.7141,-48.5113,0,64.2857,11831117060,24055729171,8.256,8.2434,30.01568427,26.0805,26.1764,50.8046,19.7333,-103.8405,0,28.5714,90919338892,63729708102,9.2871,9.2333,30.27,84.9747,88.427,73.8351,41.7313,143.9476,0,100,-799238296,-7177442770,19.7969,19.9471,20.95,73.472,81.3621,66.602,45.5102,137.0434,35.7143,100,454806458,-5178943307,13.305,13.3863,171.56,75.5784,75.1963,67.9799,37.1642,90.3937,14.2857,85.7143,-336975200,642752039.9,125.3926,125.2671
1/12/10,127.35,65.8706,79.3297,67.8835,31.8447,68.1857,28.5714,85.7143,12439949060,24124551283,8.5062,8.6501,29.67425604,71.522,76.9725,59.2894,18.8722,97.8421,35.7143,0,90767721540,64380593011,9.3769,9.4407,30.07,59.9617,43.791,46.6624,30.6007,117.2058,85.7143,0,-1158710996,-7252643771,19.694,19.7209,20.608,63.8344,65.5033,65.2722,30.9812,151.4882,7.1429,14.2857,475529158,-5071693977,14.2613,14.2928,167.82,28.6289,20.2051,39.246,29.1709,-57.8186,92.8571,21.4286,-340198800,644826291.2,127.364,126.7452
13/1/10,129.11,24.9096,29.4097,36.252,19.4087,-112.6577,100,28.5714,12324989060,20139331418,6.6593,6.6049,30.09282705,37.2003,31.7614,50.7091,25.1576,-114.5391,0,57.1429,77727666110,52667576166,6.3981,6.3438,30.35,24.7807,27.8575,45.8508,17.2021,-87.6939,92.8571,28.5714,-107169496,-7156107469,23.2046,23.1045,20.96,61.6461,60.928,56.1926,26.1501,50.9137,0,85.7143,60175268,-5609597853,13.5805,13.5494,169.07,14.2448,29.9454,45.7315,27.5881,-73.2835,28.5714,71.4286,-219567700,822753165.7,134.2582,133.7839
14/1/10,127.35,24.1091,26.65,40.246,19.8007,-95.246,92.8571,21.4286,12129491060,20037161609,6.613,6.578,29.91854151,49.413,38.0718,55.4712,23.0331,-58.5542,0,50,77294771678,52481191064,6.402,6.3453,30.96,49.0904,33.5826,46.9917,17.2291,58.2882,85.7143,21.4286,-43941396,-7113955403,23.141,23.0758,21.48,67.8822,63.1105,63.481,26.6377,223.371,0,100,210996868,-5501006301,13.6368,13.5996,168.53,17.1354,18.3851,45.7063,25.3674,-76.7622,21.4286,64.2857,-230089100,820135939.3,134.5669,133.3927
15/1/10,127.14,27.4212,25.48,40.3801,20.1535,-83.2577,85.7143,14.2857,11821961060,19748629601,6.5734,6.5564,29.41854201,51.3483,45.9872,57.1548,22.8324,-107.4654,0,42.8571,76700703484,51899564088,6.3954,6.3511,30.86,68.3416,47.4042,61.0388,17.7751,88.7429,78.5714,14.2857,-123854596,-7148634716,23.1486,23.1582,20.8,68.8192,66.1159,67.7599,25.5795,57.4115,7.1429,92.8571,12918268,-5680220272,13.6886,13.674,165.21,16.8924,16.0909,44.6123,23.8128,-125.8423,14.2857,57.1429,-240985400,813503408.9,134.5912,133.0157
18/1/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/1/10,127.61,31.3692,27.6332,34.0535,21.8801,-101.0265,100,7.1429,11999813060,19888681994,6.5232,6.5116,30.71996928,59.699,53.4868,50.4363,20.6738,80.4231,78.5714,35.7143,77430711814,52602024934,6.3799,6.3415,31.1,83.0458,66.826,54.1994,18.0845,99.2716,71.4286,7.1429,-77278896,-7125346866,23.1584,23.1803,21.05,62.3932,66.3649,55.1867,24.6271,59.0192,0,85.7143,95491768,-5659576897,13.6958,13.6765,166.86,23.5739,19.2006,38.0587,22.7722,-93.0628,7.1429,50,-233280100,818840389.4,134.1963,132.3383
20/1/10,125.78,32.6327,30.4744,37.4517,22.3021,-86.601,92.8571,0,11818319060,19768860712,6.4917,6.4834,30.24639833,61.9344,57.6605,62.7493,18.9296,89.2121,71.4286,28.5714,76818558402,52440133123,6.3809,6.3698,30.585,69.2167,73.5347,55.2132,16.322,4.5239,64.2857,0,-132128396,-7132311882,23.1554,23.2066,21.08,50.2734,60.4953,56.8218,23.77,48.3158,0,78.5714,161161868,-5621080632,13.6991,13.6893,167.79,35.4838,25.3167,40.9963,21.287,-67.0587,0,42.8571,-224386200,825937076.4,133.6322,131.8966
21/1/10,126.62,38.6777,34.2265,37.9483,22.7268,-84.2322,85.7143,0,12017731060,19774558198,6.455,6.4615,29.7245417,62.6631,61.4321,56.0904,17.9972,-25.0344,64.2857,21.4286,76210403394,52003749672,6.3739,6.3775,30.01,45.676,65.9795,51.0297,16.0085,-81.8985,57.1429,0,-205215096,-7203368396,23.1349,23.2006,20.84,44.4378,52.3681,59.7246,21.9902,14.6691,0,71.4286,87528568,-5657312891,13.7213,13.7188,160.87,43.0841,34.0473,52.1381,23.0949,-123.3453,100,35.7143,-276124500,804012835.5,133.155,132.0324
22/1/10,121.43,23.1182,31.4762,34.1062,25.0418,-187.5121,100,0,11786353060,19588049448,6.4229,6.4285,28.24997175,30.85,51.8158,45.9447,20.5704,-247.8963,100,14.2857,75328634913,51222608542,6.3589,6.3546,28.96,17.5181,44.137,40.6035,18.8597,-206.4627,100,71.4286,-307219696,-7287372184,23.0873,23.1117,19.91,27.4459,40.719,50.7256,22.6983,-205.6733,100,64.2857,-28773832,-5749880107,13.724,13.6977,154.12,31.9413,36.8364,31.8448,25.8445,-214.1234,100,28.5714,-306300100,788884801.3,131.9303,130.6334
25/1/10,120.31,21.7177,27.8379,27.5676,27.9589,-217.9487,100,0,11545875060,19600767035,6.3806,6.3697,29.01068528,19.3735,37.6289,39.542,22.8863,-135.842,92.8571,7.1429,76394335578,51520343096,6.3353,6.3124,29.32,8.6022,23.9321,31.6513,21.4257,-144.942,92.8571,64.2857,-243846696,-7300952113,23.0085,22.9344,20.32,19.56,30.4813,41.1233,23.3357,-119.9047,92.8571,57.1429,45011768,-5762867318,13.7043,13.6174,154.98,17.7819,30.9358,28.8333,28.3191,-144.8819,92.8571,21.4286,-288423100,775524096.1,130.3476,129.1241
26/1/10,119.48,13.1921,19.3427,25.2052,29.915,-132.9229,92.8571,0,11354695060,19450467065,6.3203,6.3076,29.41997058,27.7053,25.9763,46.2473,20.735,-12.8817,85.7143,0,78261447445,50780544054,6.3146,6.2968,29.5,18.8095,14.9766,31.2484,22.7521,-95.6742,85.7143,57.1429,-177206796,-7295691068,22.8942,22.7838,20,17.652,21.5527,40.1668,24.4899,-122.9636,85.7143,50,-20287132,-5812980427,13.6434,13.5445,150.88,8.4733,19.3988,27.4583,31.3425,-135.8078,100,14.2857,-304409000,760530424.3,128.7688,127.7154
27/1/10,122.75,26.0671,20.3256,27.3173,31.328,-78.364,85.7143,0,11650001060,19670153869,6.2805,6.261,29.69768459,48.235,31.7713,47.9262,19.7827,-40.8847,78.5714,64.2857,79984017567,51662486237,6.3076,6.2889,29.67,31.8592,19.7569,34.7113,24.1228,-73.7906,78.5714,50,-113257296,-7255722630,22.8336,22.6812,20.24,25.1111,20.7744,37.2769,25.9102,-93.0866,78.5714,42.8571,54639068,-5764498769,13.5864,13.4634,151.5,9.8857,12.047,23.2565,34.4895,-114.1584,100,7.1429,-284510000,768216733.4,127.2597,125.9702
28/1/10,126.03,47.0877,28.7823,40.763,29.3678,16.5686,78.5714,7.1429,12195863060,19925716533,6.2631,6.2538,28.46997153,41.8037,39.248,44.6225,19.186,-112.1098,71.4286,57.1429,78810513994,50692620049,6.2987,6.272,29.16,33.0356,27.9014,44.8023,25.6929,-75.7737,71.4286,42.8571,-230770996,-7308483883,22.8018,22.6647,19.92,20.985,21.2494,44.6514,27.5901,-89.0153,100,35.7143,-22335532,-5789434202,13.5589,13.4328,153.29,19.6084,12.6558,32.8128,35.7528,-74.4105,92.8571,0,-268349300,772618600.2,126.18,125.038
29/1/10,125.41,60.6948,44.6165,55.2194,27.8337,66.2337,71.4286,0,11606437060,19530474898,6.2663,6.2965,27.43754399,28.4652,39.5013,38.6818,20.7936,-157.7443,100,50,77564560349,49824727318,6.2714,6.2369,28.18,30.2291,31.708,45.9391,29.2576,-120.754,100,35.7143,-424659496,-7413149357,22.7708,22.6595,19.4,19.3733,21.8231,41.5738,30.0473,-118.706,100,28.5714,-118389432,-5864846886,13.4947,13.3875,148.72,22.2045,17.2329,33.3692,37.3745,-84.3151,100,0,-286852100,758878897.2,125.1176,124.3053
2/1/10,118.87,,,,,,,,,,,,27.81854361,,,,,,,,,,,,28.41,,,,,,,,,,,,19.61,,,,,,,,,,,,153.13,,,,,,,,,,,
