Date,AMZN.O,SlowK,SlowD,RSI,ADX,CCI,Aroon Down,Aroon Up,OBV,Chaikin A/D,SMA,EMA,SMA_EMA_ratio,SMA_Short,SMA_Long,SMA_Long_Short
2010-04-01,133.9,56.8287,73.2678,66.1726,35.5107,8.987,57.1429,85.7143,11404313060.0,20702083994.6628,6.6543,6.6815,0.995929057846292,,,
2010-06-01,132.25,75.6546,78.7052,45.0015,45.833,12.7304,57.1429,14.2857,10964719060.0,20684128051.3757,6.1918,6.2536,0.9901176922092875,,,
2010-07-01,130.0,22.3903,20.1191,21.6477,46.2261,-114.8337,85.7143,21.4286,10302619060.0,20430250557.243,5.9468,5.8418,1.0179739121503646,,,
2010-11-01,130.308,21.3492,40.7736,55.0986,27.7141,-48.5113,0.0,64.2857,11831117060.0,24055729171.4693,8.256,8.2434,1.0015284955236918,,,
2010-12-01,127.35,65.8706,79.3297,67.8835,31.8447,68.1857,28.5714,85.7143,12439949060.0,24124551283.4099,8.5062,8.6501,0.9833643541693159,,,
2010-01-13,129.11,24.9096,29.4097,36.252,19.4087,-112.6577,100.0,28.5714,12324989060.0,20139331418.0596,6.6593,6.6049,1.0082363094066527,,,
2010-01-14,127.35,24.1091,26.65,40.246,19.8007,-95.246,92.8571,21.4286,12129491060.0,20037161609.0144,6.613,6.578,1.0053207661903314,130.0382857142857,,
2010-01-15,127.14,27.4212,25.48,40.3801,20.1535,-83.2577,85.7143,14.2857,11821961060.0,19748629601.2924,6.5734,6.5564,1.0025928863400648,129.07257142857142,,
2010-01-19,127.61,31.3692,27.6332,34.0535,21.8801,-101.0265,100.0,7.1429,11999813060.0,19888681993.663,6.5232,6.5116,1.0017814362061552,128.4097142857143,,
2010-01-20,125.78,32.6327,30.4744,37.4517,22.3021,-86.601,92.8571,0.0,11818319060.0,19768860712.1096,6.4917,6.4834,1.001280192491594,127.80685714285714,,
2010-01-21,126.62,38.6777,34.2265,37.9483,22.7268,-84.2322,85.7143,0.0,12017731060.0,19774558197.8239,6.455,6.4615,0.9989940416312002,127.28,,
2010-01-22,121.43,23.1182,31.4762,34.1062,25.0418,-187.5121,100.0,0.0,11786353060.0,19588049448.1856,6.4229,6.4285,0.9991288792097691,126.4342857142857,,
2010-01-25,120.31,21.7177,27.8379,27.5676,27.9589,-217.9487,100.0,0.0,11545875060.0,19600767034.7241,6.3806,6.3697,1.0017112265883794,125.17714285714285,,
2010-01-26,119.48,13.1921,19.3427,25.2052,29.915,-132.9229,92.8571,0.0,11354695060.0,19450467065.3442,6.3203,6.3076,1.002013444099182,124.05285714285715,,
2010-01-27,122.75,26.0671,20.3256,27.3173,31.328,-78.364,85.7143,0.0,11650001060.0,19670153868.8762,6.2805,6.261,1.0031145184475323,123.42571428571429,,
2010-01-28,126.03,47.0877,28.7823,40.763,29.3678,16.5686,78.5714,7.1429,12195863060.0,19925716532.5125,6.2631,6.2538,1.0014870958457258,123.2,,
2010-01-29,125.41,60.6948,44.6165,55.2194,27.8337,66.2337,71.4286,0.0,11606437060.0,19530474898.0685,6.2663,6.2965,0.9952036845866752,123.14714285714285,,
2010-02-02,118.12,34.9847,50.1079,34.8977,27.7319,-123.3384,92.8571,85.7143,10389355060.0,19754393215.2636,6.1992,6.2111,0.9980840752845712,121.93285714285715,,
2010-03-02,119.1,82.4563,76.9446,66.2029,15.808,226.082,42.8571,100.0,10740045060.0,20352914378.7683,5.9204,5.9724,0.9912932824325229,121.6,,
2010-08-02,116.83,84.7631,79.9562,52.6654,36.4861,87.12,57.1429,0.0,9855887060.0,22071663430.1427,5.8611,5.8703,0.9984327887842189,121.10285714285715,125.3439,0.9661647446972461
2010-09-02,118.03,82.4205,62.6111,63.5904,15.9684,210.5964,71.4286,100.0,10968231060.0,22831701822.106,6.3217,6.342,0.9967991169977926,120.89571428571428,124.5504,0.9706569732872338
2010-11-02,120.09,18.1922,25.5134,53.5746,26.0538,-28.4098,0.0,57.1429,11916317060.0,24053087311.0042,8.2713,8.2332,1.0046276053053491,120.51571428571428,123.94239999999999,0.972352595122527
2010-12-02,119.66,48.0718,64.7963,62.2773,31.5931,43.2645,21.4286,78.5714,12329197060.0,24177574195.5912,8.6013,8.6852,0.9903398885460324,119.60571428571428,123.4254,0.969052677047952
2010-02-16,117.53,64.6705,65.8093,46.1105,18.9743,45.7899,28.5714,21.4286,10291027060.0,19825385121.7436,5.9113,5.9718,0.9898690512073411,118.48,122.7865,0.9649269260057091
2010-02-17,116.31,40.8512,58.2026,39.5712,18.3201,-126.1343,21.4286,14.2857,10112131060.0,19818591602.7563,5.9027,5.9504,0.9919837321860715,118.22142857142858,122.2345,0.9671690772362024
2010-02-18,118.08,35.5826,47.0348,37.1467,16.7595,-47.3057,14.2857,7.1429,10308133060.0,19968912919.8295,5.8963,5.9216,0.995727506079438,118.07571428571428,121.68299999999999,0.9703550560531404
2010-02-19,117.52,40.0944,38.8427,43.5814,15.2106,8.9971,7.1429,0.0,10165821060.0,19897416460.4993,5.8927,5.9168,0.9959268523526229,118.17428571428572,121.19149999999999,0.9751037466677591
2010-02-22,118.01,53.6972,43.1247,42.3262,14.1442,-19.1549,0.0,0.0,10301967060.0,19939870589.5316,5.9001,5.908,0.9986628300609343,118.17142857142858,120.73500000000001,0.9787669571493648
2010-02-23,117.24,52.7749,48.8555,44.4336,12.9615,-20.0866,21.4286,28.5714,10160603060.0,19873831932.5973,5.8933,5.9067,0.99773138977771,117.7642857142857,120.2165,0.9796016829161197
2010-02-24,119.72,69.7277,58.7333,44.2932,11.8888,88.6873,14.2857,21.4286,10308401060.0,20012706279.7671,5.8921,5.9051,0.9977985131496503,117.77285714285713,119.91350000000003,0.9821484415254088
2010-02-25,118.2,70.8383,64.447,45.1032,11.5458,-46.2,7.1429,14.2857,10117733060.0,20181933701.4538,5.893,5.9057,0.9978495351948117,117.86857142857143,119.49249999999999,0.9864097866273736
2010-02-26,118.4,74.1481,71.5713,44.1188,10.5084,42.9353,0.0,7.1429,10232165060.0,20199357503.923,5.8963,5.9036,0.9987634663595095,118.16714285714285,119.34100000000001,0.9901638402321318
2010-02-03,125.53,27.0477,38.8921,32.732,27.3501,-80.7622,85.7143,78.5714,10637473060.0,19919534048.0505,6.1492,6.1466,1.0004229980802395,119.23142857142857,119.602,0.9969016284964178
2010-03-03,125.89,90.0387,82.2415,67.0063,18.2282,137.4508,35.7143,92.8571,10868853060.0,20373954729.3659,5.962,6.0265,0.9892972703891146,120.42714285714285,119.92250000000001,1.0042080748578694
2010-05-03,128.91,14.782,13.8141,41.2438,25.7639,-123.351,100.0,50.0,11845459060.0,20883599554.508,7.1571,7.0796,1.01094694615515,121.98428571428572,120.2305,1.0145868620215812
2010-08-03,130.11,88.953,83.989,54.0537,34.8686,164.8659,50.0,0.0,9974963060.0,22157144320.4248,5.8581,5.8939,0.9939259234123415,123.82285714285716,120.4345,1.0281344394077874
2010-09-03,128.82,98.2568,79.7924,69.7388,18.6519,182.9237,64.2857,100.0,11099855060.0,22898315011.6712,6.3701,6.4334,0.9901607237230703,125.12285714285714,120.60499999999999,1.0374599489478642
2010-11-03,133.58,48.9175,29.4863,56.7105,25.7016,-3.5559,0.0,50.0,12038559060.0,24169913526.1941,8.3044,8.2399,1.0078277649000593,127.32000000000001,121.37800000000001,1.048954505758869
2010-12-03,131.82,34.6127,49.5184,59.0722,31.3666,26.2856,14.2857,71.4286,12231047060.0,24215581216.8678,8.675,8.7015,0.9969545480664255,129.23714285714286,122.01399999999998,1.0591992956311806
2010-03-15,131.13,71.1466,80.0395,67.8957,37.9068,50.6216,14.2857,92.8571,11152865060.0,20768242307.0393,6.4442,6.4312,1.0020213956959823,130.03714285714287,122.729,1.0595469926190457
