Date,GS.N,SlowK,SlowD,RSI,ADX,CCI,Aroon Down,Aroon Up,OBV,Chaikin A/D,SMA,EMA
2010-01-01,,,,,,,,,,,,
2010-04-01,173.08,9.7641,15.2302,50.3525,25.5682,-119.6258,100.0000,64.2857,-177810600.0000,811806291.3092,137.0128,135.9827
2010-05-01,176.14,,,,,,,,,,,
2010-06-01,174.26,82.1737,80.0595,49.2538,31.4835,85.6424,71.4286,14.2857,-346418300.0000,664477496.7667,110.7708,112.1395
2010-07-01,177.67,9.8352,26.4734,37.8543,33.0676,-128.0550,100.0000,71.4286,-430663700.0000,621506911.0042,107.1164,106.6629
2010-08-01,174.31,,,,,,,,,,,
2010-11-01,171.56,75.5784,75.1963,67.9799,37.1642,90.3937,14.2857,85.7143,-336975200.0000,642752039.8627,125.3926,125.2671
2010-12-01,167.82,28.6289,20.2051,39.2460,29.1709,-57.8186,92.8571,21.4286,-340198800.0000,644826291.2313,127.3640,126.7452
2010-01-13,169.07,14.2448,29.9454,45.7315,27.5881,-73.2835,28.5714,71.4286,-219567700.0000,822753165.7033,134.2582,133.7839
2010-01-14,168.53,17.1354,18.3851,45.7063,25.3674,-76.7622,21.4286,64.2857,-230089100.0000,820135939.3312,134.5669,133.3927
2010-01-15,165.21,16.8924,16.0909,44.6123,23.8128,-125.8423,14.2857,57.1429,-240985400.0000,813503408.8964,134.5912,133.0157
2010-01-18,,,,,,,,,,,,
2010-01-19,166.86,23.5739,19.2006,38.0587,22.7722,-93.0628,7.1429,50.0000,-233280100.0000,818840389.3825,134.1963,132.3383
2010-01-20,167.79,35.4838,25.3167,40.9963,21.2870,-67.0587,0.0000,42.8571,-224386200.0000,825937076.4291,133.6322,131.8966
2010-01-21,160.87,43.0841,34.0473,52.1381,23.0949,-123.3453,100.0000,35.7143,-276124500.0000,804012835.4593,133.1550,132.0324
2010-01-22,154.12,31.9413,36.8364,31.8448,25.8445,-214.1234,100.0000,28.5714,-306300100.0000,788884801.3260,131.9303,130.6334
2010-01-25,154.98,17.7819,30.9358,28.8333,28.3191,-144.8819,92.8571,21.4286,-288423100.0000,775524096.0628,130.3476,129.1241
2010-01-26,150.88,8.4733,19.3988,27.4583,31.3425,-135.8078,100.0000,14.2857,-304409000.0000,760530424.3387,128.7688,127.7154
2010-01-27,151.5,9.8857,12.0470,23.2565,34.4895,-114.1584,100.0000,7.1429,-284510000.0000,768216733.3516,127.2597,125.9702
2010-01-28,153.29,19.6084,12.6558,32.8128,35.7528,-74.4105,92.8571,0.0000,-268349300.0000,772618600.2087,126.1800,125.0380
2010-01-29,148.72,22.2045,17.2329,33.3692,37.3745,-84.3151,100.0000,0.0000,-286852100.0000,758878897.2384,125.1176,124.3053
2010-01-02,153.13,,,,,,,,,,,
2010-02-02,156.94,54.7052,38.2613,37.4506,38.0842,6.8599,85.7143,42.8571,-256624700.0000,774976754.8423,122.8344,122.5642
2010-03-02,157.23,55.5770,46.4912,53.3818,18.4675,148.4004,0.0000,64.2857,-209817800.0000,778246951.5166,122.7554,122.6040
2010-04-02,150.68,,,,,,,,,,,
2010-05-02,154.16,,,,,,,,,,,
2010-08-02,151.1,82.8839,72.7949,65.5937,31.3365,141.2312,7.1429,100.0000,-373833700.0000,632923932.4372,116.7920,116.7463
2010-09-02,152.49,42.5768,23.4845,39.0059,42.7079,-48.9136,85.7143,0.0000,-383027200.0000,621436970.1641,112.1475,111.8367
2010-10-02,153.63,,,,,,,,,,,
2010-11-02,154.05,73.2545,75.3333,68.5782,37.9239,99.4050,7.1429,78.5714,-333642800.0000,645084719.8627,125.9387,125.7452
2010-12-02,153.93,48.1479,29.6416,42.6325,26.7142,23.9283,85.7143,14.2857,-332990200.0000,649582986.4694,126.9218,126.5897
2010-02-15,,,,,,,,,,,,
2010-02-16,157.4,83.6078,72.3216,47.8875,35.0780,98.6828,21.4286,42.8571,-213292700.0000,774956626.2552,120.6213,120.8645
2010-02-17,157.26,85.8978,81.0829,53.3300,32.7504,105.1706,14.2857,35.7143,-223362700.0000,777156794.3224,120.9621,121.3977
2010-02-18,155.73,82.5707,84.0254,48.3623,31.1273,79.3651,7.1429,28.5714,-234353800.0000,777092518.8838,120.7811,121.4935
2010-02-19,156.18,74.4681,80.9789,46.1633,29.3690,65.9485,0.0000,21.4286,-225660800.0000,780105630.4376,120.7216,121.4152
2010-02-22,156.71,65.5319,74.1902,52.0834,27.0724,84.3818,28.5714,14.2857,-218285300.0000,777900584.0458,121.2219,121.7344
2010-02-23,156.7,56.7086,65.5695,51.1768,25.2035,94.1799,21.4286,100.0000,-233981300.0000,767971951.4877,121.4209,121.9399
2010-02-24,158.33,55.2564,59.1656,52.4272,23.5214,108.1421,14.2857,92.8571,-225619800.0000,769869098.5465,121.7844,122.1836
2010-02-25,156.44,45.2734,52.4128,49.4785,22.1018,-24.7482,7.1429,85.7143,-236139700.0000,776915446.6597,122.0555,122.2249
2010-02-26,156.35,45.8638,48.7979,50.5362,20.1649,14.9228,0.0000,78.5714,-228327000.0000,778947651.8620,122.2287,122.3127
2010-01-03,156.54,,,,,,,,,,,
2010-02-03,158.75,77.6998,56.7598,46.3689,36.1481,76.6486,78.5714,35.7143,-239839500.0000,759615034.7009,122.2170,122.7770
2010-03-03,157.72,63.7234,52.4444,58.8484,18.1841,94.3065,14.2857,57.1429,-219823800.0000,772658014.5796,122.8648,123.0198
2010-04-03,163.61,,,,,,,,,,,
2010-05-03,167.18,46.0675,52.4525,33.9824,42.2072,-111.5994,92.8571,21.4286,-270225700.0000,721172688.4235,123.2224,123.6132
2010-08-03,169.84,81.5236,78.6823,63.6728,32.5967,106.7586,0.0000,100.0000,-368185200.0000,635161181.4568,117.5744,117.2916
2010-09-03,168.85,69.8531,43.7483,44.2576,39.8656,88.0776,78.5714,14.2857,-369438700.0000,632169028.7227,111.7179,111.8238
2010-10-03,171.94,,,,,,,,,,,
2010-11-03,173.51,74.3639,74.3989,70.9107,37.1738,66.7937,0.0000,71.4286,-338105600.0000,647666646.2994,126.4888,126.2971
2010-12-03,174.96,77.0743,51.2837,51.6924,24.5032,59.1438,78.5714,7.1429,-337648200.0000,653099025.1791,126.6046,126.7716
2010-03-15,173.53,83.3554,89.4584,78.0561,39.9739,71.6288,14.2857,92.8571,-177495700.0000,808710429.1666,130.9300,131.9150
2010-03-16,176.19,82.5734,86.5261,78.5245,40.2774,95.8652,7.1429,100.0000,-165808000.0000,818518289.3064,132.2767,132.8210
2010-03-17,176.64,82.2424,82.7237,81.4533,40.9983,107.7083,0.0000,100.0000,-155669400.0000,817772158.5705,133.6761,133.9235
2010-03-18,177.45,91.5623,85.4594,78.3559,41.6471,102.9983,0.0000,92.8571,-148785900.0000,822679534.1686,135.0857,134.7313
2010-03-19,177.9,91.2581,88.3543,80.8017,42.3867,94.0606,0.0000,100.0000,-137889300.0000,830586801.4252,136.1128,135.6764
2010-03-22,176.2,82.0559,88.2921,71.8284,42.3215,50.9153,0.0000,92.8571,-145209700.0000,831161367.7043,136.7670,136.1670
2010-03-23,174.83,61.0673,78.1271,71.8985,40.4482,1.5441,0.0000,85.7143,-156014500.0000,829810767.7043,137.3190,136.5740
2010-03-24,174.41,36.6418,59.9217,60.9166,38.7623,-35.1002,0.0000,78.5714,-164410600.0000,826987940.9801,137.5844,136.5344
2010-03-25,174.9,27.8869,41.8653,64.5996,38.6518,32.6802,0.0000,100.0000,-154876300.0000,818032940.2206,137.8860,136.7305
2010-03-26,172.87,22.1454,28.8913,64.9210,36.1449,-116.4812,0.0000,92.8571,-166687800.0000,812573843.5820,137.9150,136.9109
2010-03-29,174.05,25.8878,25.3067,58.5508,33.6847,-124.6030,0.0000,85.7143,-154902200.0000,821149029.2451,137.9088,136.8429
2010-03-30,171.38,18.8453,22.2928,59.6860,30.7462,-133.6125,0.0000,78.5714,-163086800.0000,815692629.2451,137.9033,136.8429
2010-03-31,170.63,17.0812,20.6048,44.7960,27.8805,-150.5423,100.0000,71.4286,-171330000.0000,814554065.7092,137.3646,136.2347
2010-01-04,170.22,85.5033,64.5942,64.2358,23.1497,223.3631,35.7143,100.0000,-218509800.0000,817971535.9727,129.2875,129.9609
2010-02-04,,65.1800,65.8616,42.2181,36.4669,-41.9647,71.4286,28.5714,-258734500.0000,742269357.3391,121.1185,122.5736
2010-05-04,173.16,26.7606,42.1831,35.6782,42.6196,-76.4925,85.7143,14.2857,-300539100.0000,712588362.7598,121.8553,122.4163
2010-06-04,172.9,51.5974,64.5311,46.2710,28.9116,40.0309,50.0000,78.5714,-361105200.0000,661333002.9213,111.5777,112.3416
2010-07-04,176.36,,,,,,,,,,,
2010-08-04,179.5,89.1415,84.5163,66.0406,34.8546,134.7039,0.0000,100.0000,-355901500.0000,642589207.1038,117.8554,117.9524
2010-09-04,179.12,,,,,,,,,,,
2010-12-04,177.84,,,,,,,,,,,
2010-04-13,179.25,75.3951,79.5172,60.6670,30.6262,79.2179,50.0000,85.7143,-162899600.0000,823725773.8587,137.0677,138.0908
2010-04-14,184.92,77.7859,77.2880,71.5676,33.4976,149.0957,42.8571,100.0000,-150343200.0000,827357067.2384,137.8255,139.2418
2010-04-15,184.27,83.3837,78.8549,73.6503,36.0819,122.1413,35.7143,92.8571,-158181900.0000,824447858.9910,139.0458,140.4162
2010-04-16,160.7,62.7357,74.6351,67.2070,37.1379,-156.0624,100.0000,100.0000,-260225600.0000,756462814.5322,139.9803,141.1029
2010-04-19,163.32,41.4213,62.5136,27.7876,38.1643,-186.5117,100.0000,92.8571,-205926400.0000,805661746.0327,138.7961,137.6642
2010-04-20,159.98,19.6772,41.2780,42.3281,37.9232,-127.2616,92.8571,85.7143,-248123000.0000,782649822.9558,138.3116,136.3984
2010-04-21,158.93,18.2850,26.4612,38.5344,37.8901,-103.6320,85.7143,78.5714,-278494000.0000,771371992.3369,137.4305,134.6817
2010-04-22,159.05,13.7536,17.2386,35.7435,37.9981,-84.5438,78.5714,71.4286,-253671000.0000,770546008.0988,136.0037,132.7431
2010-04-23,157.4,15.3004,15.7797,38.7233,38.0954,-74.4596,71.4286,64.2857,-268587000.0000,758837750.0342,134.4260,131.4797
2010-04-26,152.03,12.2489,13.7676,35.8844,39.2438,-92.3337,100.0000,57.1429,-299527700.0000,733666613.8368,132.6482,129.9505
2010-04-27,153.04,15.3669,14.3054,31.1528,40.5096,-84.7116,100.0000,50.0000,-265010900.0000,732180791.3202,130.5036,127.7756
2010-04-28,157.01,27.8319,18.4826,39.8792,40.8631,-57.0603,92.8571,42.8571,-243784800.0000,744228037.2662,128.3637,126.9113
2010-04-29,160.24,57.5690,33.5893,43.4687,39.4811,20.2640,85.7143,35.7143,-225320500.0000,751654637.6352,126.3227,126.6169
2010-04-30,145.2,53.7211,46.3740,36.9757,40.9159,-187.5354,100.0000,28.5714,-298508400.0000,708696522.4178,123.8318,125.2836
2010-03-05,149.5,84.3983,76.5667,70.6247,23.4430,237.8476,0.0000,100.0000,-192157600.0000,790982294.8734,123.9589,124.4128
2010-04-05,149.45,30.0474,18.9642,47.1632,23.6459,-54.6468,92.8571,57.1429,-171675600.0000,817225541.3092,136.4230,135.6280
2010-05-05,148.19,32.3756,35.0679,34.8997,43.0964,-78.1878,78.5714,7.1429,-318894300.0000,703273783.6553,120.7896,121.3043
2010-06-05,142.32,,,,,,,,,,,
2010-07-05,142.99,,,,,,,,,,,
2010-10-05,143.98,81.6738,65.2585,50.9692,18.2251,122.5934,71.4286,28.5714,-372007000.0000,632635022.9974,115.7597,116.0893
2010-11-05,141.97,88.9321,82.5997,76.2793,40.3036,210.2154,0.0000,100.0000,-317953700.0000,667273089.4528,127.2890,127.5730
2010-12-05,147.2,,,,,,,,,,,
2010-05-13,144.65,46.2261,40.3319,42.7885,42.6359,-9.1541,64.2857,28.5714,-309071100.0000,668558496.2597,115.7363,116.7137
2010-05-14,143.23,46.0269,45.7415,37.4150,41.8935,-83.1206,57.1429,21.4286,-320048500.0000,670558822.4820,115.0696,115.9689
2010-05-17,142.64,34.8067,42.3532,37.5207,42.0191,-104.3938,100.0000,14.2857,-336378600.0000,677492747.0920,114.7265,115.3680
2010-05-18,137.36,23.7261,34.8532,37.9476,42.5432,-164.4717,100.0000,7.1429,-354403900.0000,663299398.9801,114.3071,114.9079
2010-05-19,140.1,26.7445,28.4258,31.6742,43.1224,-154.3680,100.0000,0.0000,-336324000.0000,681110119.3275,113.5101,113.7118
2010-05-20,136.08,14.2986,21.5897,32.2165,43.7244,-140.6534,100.0000,0.0000,-352603200.0000,667877828.4184,112.7813,112.7689
2010-05-21,140.62,31.1471,24.0634,30.9920,41.8192,-48.5378,92.8571,7.1429,-327049800.0000,673343416.7518,112.1295,111.8375
2010-05-24,136.69,24.2675,23.2377,41.7903,40.1046,-68.5821,85.7143,0.0000,-343606600.0000,657712152.1555,111.5728,111.7780
2010-05-25,142.56,53.0291,36.1479,33.2484,39.3573,-28.6204,100.0000,0.0000,-322115700.0000,676190979.4080,110.9705,110.6912
2010-05-26,140.3,51.5715,42.9561,48.5929,37.1314,42.1039,92.8571,14.2857,-339189600.0000,662526270.5700,110.9740,111.1664
2010-05-27,144.95,79.5514,61.3840,47.3156,35.1281,132.0638,85.7143,7.1429,-326279400.0000,674792570.3206,110.5747,111.4109
2010-05-28,144.26,78.4533,69.8588,49.4971,32.8569,137.2253,78.5714,0.0000,-336963100.0000,673288938.4688,110.6814,111.8242
2010-05-31,,,,,,,,,,,,
2010-01-06,141.86,90.8572,88.7692,74.4671,28.1530,116.0743,21.4286,92.8571,-214231500.0000,826047735.5813,131.0724,132.1477
2010-02-06,144.83,,,,,,,,,,,
2010-03-06,144.04,,,,,,,,,,,
2010-04-06,142.4,48.5841,29.4652,53.2667,22.3166,-6.8470,85.7143,50.0000,-179419200.0000,816157458.5505,136.1403,135.6133
2010-07-06,138.68,24.1242,14.8110,43.5646,32.3418,-57.8928,85.7143,57.1429,-429410000.0000,619512479.9857,106.2021,106.0139
2010-08-06,137.78,78.4009,84.7279,65.5507,38.0135,84.3836,7.1429,85.7143,-369664300.0000,648267459.1121,119.0079,119.3025
2010-09-06,136.8,,,,,,,,,,,
2010-10-06,133.77,79.9630,74.8731,59.0180,18.7719,201.1430,64.2857,21.4286,-365676400.0000,633065642.3876,115.7439,116.4698
2010-11-06,135.64,,,,,,,,,,,
2010-06-14,133.44,26.2483,22.9427,41.8074,40.7050,-87.6639,85.7143,35.7143,-420522000.0000,640606531.9560,110.3143,109.3752
2010-06-15,136.9,43.5860,30.9873,37.9847,41.6009,-53.8051,78.5714,28.5714,-409872700.0000,648658441.7121,109.5562,108.7575
2010-06-16,137.06,59.0865,42.9736,41.4166,41.5440,-21.5603,71.4286,21.4286,-402795000.0000,649074777.0062,109.0886,108.4567
2010-06-17,137.32,77.3403,60.0043,43.5759,41.7012,-7.5575,64.2857,14.2857,-394690700.0000,651744766.5305,108.4620,108.3380
2010-06-18,138.18,79.6894,72.0387,45.7478,40.4590,82.5592,57.1429,7.1429,-384535800.0000,647682806.5305,108.1196,108.3655
2010-06-21,137.74,73.7091,76.9129,50.2145,38.9103,94.4159,50.0000,0.0000,-393226800.0000,641623588.2207,107.9122,108.6491
2010-06-22,134.79,48.1424,67.1803,45.4218,38.9401,-34.2258,42.8571,14.2857,-402229000.0000,633760907.2080,107.7863,108.5799
2010-06-23,135.07,33.3170,51.7228,38.3831,39.7331,-70.7738,35.7143,7.1429,-393996800.0000,636083966.3861,107.4171,108.0023
2010-06-24,134.98,21.8190,34.4261,39.0747,40.4467,-76.7274,28.5714,0.0000,-403964700.0000,639105594.6091,107.1447,107.5640
2010-06-25,139.66,48.8941,34.6767,46.9343,36.8072,103.0936,21.4286,0.0000,-389632400.0000,646945820.8191,107.4328,107.6134
2010-06-28,136.66,54.4163,41.7098,54.6639,33.5316,53.5055,14.2857,92.8571,-399540500.0000,637706839.2607,107.6902,108.1389
2010-06-29,133.76,48.5108,50.6071,43.4597,32.4766,-110.0567,7.1429,85.7143,-409878600.0000,631920589.2607,107.7178,107.7961
2010-06-30,131.27,21.0742,41.3337,41.2008,32.4740,-141.9049,100.0000,78.5714,-419018400.0000,624164779.4748,107.5304,107.3295
2010-01-07,131.14,91.3445,90.7162,69.7964,31.2759,115.2008,14.2857,100.0000,-205504100.0000,830847805.5813,131.7635,132.9544
2010-02-07,131.08,,,,,,,,,,,
2010-05-07,,27.1255,29.4396,32.4050,46.1133,-107.0634,92.8571,7.1429,-320610500.0000,687230482.0859,118.8060,119.1893
