Date,MSFT.O
1/1/10,
4/1/10,30.95
5/1/10,30.96
6/1/10,30.77
7/1/10,30.452
8/1/10,30.66
11/1/10,30.27
12/1/10,30.07
13/1/10,30.35
14/1/10,30.96
15/1/10,30.86
18/1/10,
19/1/10,31.1
20/1/10,30.585
21/1/10,30.01
22/1/10,28.96
25/1/10,29.32
26/1/10,29.5
27/1/10,29.67
28/1/10,29.16
29/1/10,28.18
1/2/10,28.41
2/2/10,28.46
3/2/10,28.63
4/2/10,27.84
5/2/10,28.02
8/2/10,27.72
9/2/10,28.01
10/2/10,27.99
11/2/10,28.12
12/2/10,27.93
15/2/10,
16/2/10,28.35
17/2/10,28.59
18/2/10,28.969
19/2/10,28.77
22/2/10,28.73
23/2/10,28.33
24/2/10,28.63
25/2/10,28.6
26/2/10,28.67
1/3/10,29.02
2/3/10,28.46
3/3/10,28.46
4/3/10,28.63
5/3/10,28.5875
8/3/10,28.63
9/3/10,28.8
10/3/10,28.97
11/3/10,29.18
12/3/10,29.27
15/3/10,29.29
16/3/10,29.37
17/3/10,29.63
18/3/10,29.61
19/3/10,29.59
22/3/10,29.6
23/3/10,29.88
24/3/10,29.65
25/3/10,30.01
26/3/10,29.66
29/3/10,29.59
30/3/10,29.77
31/3/10,29.2875
1/4/10,29.16
2/4/10,
5/4/10,29.27
6/4/10,29.32
7/4/10,29.35
8/4/10,29.92
9/4/10,30.34
12/4/10,30.32
13/4/10,30.45
14/4/10,30.82
15/4/10,30.87
16/4/10,30.67
19/4/10,31.039
20/4/10,31.36
21/4/10,31.332
22/4/10,31.39
23/4/10,30.96
26/4/10,31.11
27/4/10,30.845
28/4/10,30.91
29/4/10,31.003
30/4/10,30.535
3/5/10,30.86
4/5/10,30.13
5/5/10,29.85
6/5/10,28.98
7/5/10,28.21
10/5/10,28.94
11/5/10,28.88
12/5/10,29.44
13/5/10,29.24
14/5/10,28.93
17/5/10,28.94
18/5/10,28.5975
19/5/10,28.24
20/5/10,27.11
21/5/10,26.84
24/5/10,26.27
25/5/10,26.07
26/5/10,25.01
27/5/10,26
28/5/10,25.8
31/5/10,
1/6/10,25.89
2/6/10,26.46
3/6/10,26.86
4/6/10,25.79
7/6/10,25.29
8/6/10,25.11
9/6/10,24.79
10/6/10,25
11/6/10,25.66
14/6/10,25.495
15/6/10,26.5825
16/6/10,26.32
17/6/10,26.37
18/6/10,26.44
21/6/10,25.95
22/6/10,25.77
23/6/10,25.308
24/6/10,25
25/6/10,24.5325
28/6/10,24.31
29/6/10,23.31
30/6/10,23.01
1/7/10,23.16
2/7/10,23.27
5/7/10,
6/7/10,23.82
7/7/10,24.3
8/7/10,24.4095
9/7/10,24.27
12/7/10,24.83
13/7/10,25.13
14/7/10,25.44
15/7/10,25.51
16/7/10,24.89
19/7/10,25.23
20/7/10,25.48
21/7/10,25.12
22/7/10,25.84
23/7/10,25.81
26/7/10,26.1
27/7/10,26.16
28/7/10,25.95
29/7/10,26.03
30/7/10,25.81
2/8/10,26.33
3/8/10,26.16
4/8/10,25.73
5/8/10,25.37
6/8/10,25.55
9/8/10,25.61
10/8/10,25.07
11/8/10,24.86
12/8/10,24.49
13/8/10,24.4
16/8/10,24.5
17/8/10,24.71
18/8/10,24.82
19/8/10,24.44
20/8/10,24.23
23/8/10,24.28
24/8/10,24.04
25/8/10,24.1
26/8/10,23.82
27/8/10,23.93
30/8/10,23.64
31/8/10,23.465
1/9/10,23.9
2/9/10,23.94
3/9/10,24.29
6/9/10,
7/9/10,23.96
8/9/10,23.93
9/9/10,24.01
10/9/10,23.85
13/9/10,25.11
14/9/10,25.03
15/9/10,25.115
16/9/10,25.33
17/9/10,25.22
20/9/10,25.43
21/9/10,25.15
22/9/10,24.61
23/9/10,24.43
